CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
2/25/16,17:59:00,6C,2700 BOSTON ST,LARCENY,,Canton,"(39.2791100000, -76.5779800000)"
2/25/16,18:00:00,4E,2400 BELAIR RD,COMMON ASSAULT,HANDS,Belair-Edison,"(39.3176600000, -76.5781900000)"
2/25/16,18:00:00,6E,4800 MIDWOOD AVE,LARCENY,,Kenilworth Park,"(39.3466400000, -76.6039800000)"
2/25/16,19:00:00,5D,1700 W LANVALE ST,BURGLARY,,Harlem Park,"(39.2976100000, -76.6451200000)"
2/25/16,19:00:00,6D,400 FAWCETT ST,LARCENY FROM AUTO,,Remington,"(39.3155900000, -76.6227500000)"
2/25/16,19:15:00,6E,2200 KIRK AVE,LARCENY,,East Baltimore Midway,"(39.3156000000, -76.6047100000)"
2/25/16,19:30:00,6D,2800 AILSA AVE,LARCENY FROM AUTO,,Lauraville,"(39.3486800000, -76.5691400000)"
2/25/16,19:30:00,4E,2500 RELLIM RD,COMMON ASSAULT,HANDS,Cheswolde,"(39.3653800000, -76.6750100000)"
2/25/16,19:33:00,4A,6400 BROOK AVE,AGG. ASSAULT,FIREARM,Rosemont East,"(39.3537200000, -76.5356400000)"
2/25/16,1933,9S,6400 BROOK AV,SHOOTING,FIREARM,Rosemont East,"(39.3537200000, -76.5356400000)"
2/25/16,20:05:00,7A,NORTH AV & N CHESTER ST,AUTO THEFT,,South Clifton Park,"(39.3124200000, -76.5886900000)"
2/25/16,20:20:00,3B,5700 CEDONIA AVE,ROBBERY - STREET,,Frankford,"(39.3374600000, -76.5328600000)"
2/25/16,20:57:00,4E,2900 GREENMOUNT AVE,COMMON ASSAULT,HANDS,Abell,"(39.3244600000, -76.6094500000)"
2/25/16,21:29:00,4A,0 S GREENE ST,AGG. ASSAULT,FIREARM,University Of Maryland,"(39.2883600000, -76.6236700000)"
2/25/16,21:30:00,3CF,300 N CHARLES ST,ROBBERY - COMMERCIAL,FIREARM,Downtown,"(39.2924800000, -76.6153800000)"
2/25/16,21:42:00,4E,600 S PACA ST,COMMON ASSAULT,HANDS,Ridgely's Delight,"(39.2830100000, -76.6247500000)"
2/25/16,21:59:00,4C,0 S CULVER ST,AGG. ASSAULT,OTHER,Saint Josephs,"(39.2852300000, -76.6782700000)"
2/25/16,2129,9S,0 S GREENE ST,SHOOTING,FIREARM,University Of Maryland,"(39.2882900000, -76.6236700000)"
2/25/16,2131,1F,2500 W LANVALE ST,HOMICIDE,FIREARM,Evergreen Lawn,"(39.2968800000, -76.6567900000)"
2/25/16,22:00:00,4C,3400 SPELMAN RD,AGG. ASSAULT,OTHER,Cherry Hill,"(39.2433200000, -76.6259400000)"
2/25/16,22:00:00,6E,1800 E PRATT ST,LARCENY,,Upper Fells Point,"(39.2893200000, -76.5908200000)"
2/25/16,22:30:00,3B,6600 BELAIR RD,ROBBERY - STREET,,Rosemont East,"(39.3548000000, -76.5306800000)"
2/25/16,22:30:00,7A,1300 W FAYETTE ST,AUTO THEFT,,Franklin Square,"(39.2897800000, -76.6384300000)"
2/25/16,22:53:00,5C,200 S DALLAS CT,BURGLARY,,Perkins Homes,"(39.2887800000, -76.5966500000)"
2/25/16,23:00:00,6C,1000 W 41ST ST,LARCENY,,Hoes Heights,"(39.3375600000, -76.6347400000)"
2/25/16,23:00:00,5D,2700 PENNSYLVANIA AVE,BURGLARY,,Penn North,"(39.3127100000, -76.6456900000)"
2/24/16,11:00:00,7A,6700 REISTERSTOWN RD,AUTO THEFT,,Reisterstown Station,"(39.3592100000, -76.7065200000)"
2/24/16,8:00:00,5A,3600 CEDARDALE RD,BURGLARY,,Ashburton,"(39.3283000000, -76.6740900000)"
2/24/16,8:11:00,6D,ST & S BOND ST,LARCENY FROM AUTO,,Fells Point,"(39.2844700000, -76.5952900000)"
2/24/16,8:15:00,3P,1400 ORLEANS ST,ROBBERY - STREET,,Dunbar-Broadway,"(39.2951300000, -76.5986100000)"
2/24/16,8:30:00,4F,3300 CARLISLE AVE,ASSAULT BY THREAT,,Hanlon-Longwood,"(39.3194000000, -76.6732400000)"
2/24/16,8:30:00,4F,3300 CARLISLE AVE,ASSAULT BY THREAT,,Hanlon-Longwood,"(39.3194000000, -76.6732400000)"
2/24/16,8:40:00,4B,4700 YORK RD,AGG. ASSAULT,KNIFE,Kernewood,"(39.3462900000, -76.6096400000)"
2/24/16,9:00:00,6G,3400 TAYLOR AVE,LARCENY,,Overlea,"(39.3680200000, -76.5364600000)"
2/24/16,9:00:00,5B,4300 HARCOURT RD,BURGLARY,,Arcadia,"(39.3349000000, -76.5678600000)"
2/24/16,9:15:00,4C,1100 WHITMORE AVE,AGG. ASSAULT,OTHER,Bridgeview/Greenlawn,"(39.3006000000, -76.6582200000)"
2/24/16,9:24:00,4E,1400 MOUNTMOR CT,COMMON ASSAULT,HANDS,Sandtown-Winchester,"(39.3047800000, -76.6444300000)"
2/24/16,9:30:00,5A,900 FAWN ST,BURGLARY,,Little Italy,"(39.2864100000, -76.6016000000)"
2/24/16,9:30:00,4E,1100 N WOLFE ST,COMMON ASSAULT,HANDS,Middle East,"(39.3035000000, -76.5911900000)"
2/24/16,9:30:00,6G,4100 PARKWOOD AVE,LARCENY,,Waltherson,"(39.3359600000, -76.5556100000)"
2/24/16,18:25:00,6D,400 E PRESTON ST,LARCENY FROM AUTO,,Johnston Square,"(39.3047100000, -76.6100000000)"
2/24/16,18:30:00,7A,2400 PRESBURY ST,AUTO THEFT,,Coppin Heights/Ash-Co-East,"(39.3075200000, -76.6565100000)"
2/24/16,18:30:00,4E,5300 MORAVIA RD,COMMON ASSAULT,HANDS,Frankford,"(39.3226700000, -76.5489300000)"
2/24/16,18:35:00,4C,2400 FREDERICK AVE,AGG. ASSAULT,OTHER,Millhill,"(39.2838800000, -76.6551200000)"
2/24/16,18:35:00,4C,2400 FREDERICK AVE,AGG. ASSAULT,OTHER,Millhill,"(39.2838800000, -76.6551200000)"
2/24/16,19:00:00,6D,2800 WILKENS AVE,LARCENY FROM AUTO,,Wilhelm Park,"(39.2766200000, -76.6628800000)"
2/24/16,19:15:00,4D,200 S STRICKER ST,AGG. ASSAULT,HANDS,New Southwest/Mount Clare,"(39.2850400000, -76.6408000000)"
2/24/16,20:07:00,3P,5500 CARTER AVE,ROBBERY - STREET,,Glenham-Belhar,"(39.3484100000, -76.5570000000)"
2/24/16,20:50:00,5A,3900 SEVEN MILE LN,BURGLARY,,Fallstaff,"(39.3649300000, -76.7109300000)"
2/24/16,21:00:00,4F,2400 W GARRISON AVE,ASSAULT BY THREAT,,Cylburn,"(39.3499600000, -76.6603900000)"
2/24/16,21:05:38,2A,200 S EDEN ST,RAPE,OTHER,Washington Hill,"(39.2882500000, -76.5985300000)"
2/24/16,21:14:00,3AO,ST & N CHESTER ST,ROBBERY - STREET,OTHER,CARE,"(39.2954000000, -76.5876400000)"
2/24/16,21:24:00,4F,2500 W NORTH AVE,ASSAULT BY THREAT,,Mondawmin,"(39.3095100000, -76.6573300000)"
2/24/16,5:00:00,5C,2200 W Cold Spring Ln,BURGLARY,,Coldspring,"(39.3436200000, -76.6523000000)"
2/24/16,6:00:00,5A,2400 KEYWORTH AVE,BURGLARY,,Greenspring,"(39.3348700000, -76.6590100000)"
2/24/16,6:00:00,4E,500 S LINWOOD AVE,COMMON ASSAULT,HANDS,Canton,"(39.2858700000, -76.5758200000)"
2/24/16,7:00:00,6G,3700 FALLS RD,LARCENY,,Hampden,"(39.3333100000, -76.6356100000)"
2/24/16,7:15:00,5A,4600 KAVON AVE,BURGLARY,,Frankford,"(39.3311200000, -76.5590400000)"
2/24/16,7:50:00,7A,2200 WESTWOOD AVE,AUTO THEFT,,Coppin Heights/Ash-Co-East,"(39.3086300000, -76.6532000000)"
2/24/16,13:00:00,5A,800 GLEN ALLEN DR,BURGLARY,,Hunting Ridge,"(39.2976400000, -76.6965600000)"
2/24/16,13:00:00,6C,6600 REISTERSTOWN RD,LARCENY,,Reisterstown Station,"(39.3575600000, -76.7043900000)"
2/24/16,13:12:00,7A,3800 LIBERTY HEIGHTS AVE,AUTO THEFT,,Forest Park,"(39.3269800000, -76.6812900000)"
2/24/16,13:40:00,6D,AV & BAKER ST,LARCENY FROM AUTO,,Druid Heights,"(39.3082800000, -76.6403800000)"
2/24/16,13:45:00,3K,1600 ORLEANS ST,ROBBERY - RESIDENCE,,Dunbar-Broadway,"(39.2952600000, -76.5957500000)"
2/24/16,14:00:00,7A,0 S SCHROEDER ST,AUTO THEFT,,Hollins Market,"(39.2878300000, -76.6336900000)"
2/24/16,14:30:00,5A,2400 MCCULLOH ST,BURGLARY,,Reservoir Hill,"(39.3124900000, -76.6390100000)"
2/24/16,14:30:00,5A,400 S HIGH ST,BURGLARY,,Little Italy,"(39.2856000000, -76.6013500000)"
2/24/16,14:45:00,4E,4300 SIDEHILL RD,COMMON ASSAULT,HANDS,Rognel Heights,"(39.2982900000, -76.6915000000)"
2/24/16,15:00:00,4E,COLD SPRING LN & YORK RD,COMMON ASSAULT,HANDS,Kernewood,"(39.3461600000, -76.6096000000)"
2/24/16,15:15:00,4C,AV & DOSWELL AV,AGG. ASSAULT,OTHER,Rosemont Homeowners/Tenants,"(39.2939700000, -76.6578300000)"
2/24/16,15:40:00,5A,2400 LAKEVIEW AVE,BURGLARY,,Reservoir Hill,"(39.3157400000, -76.6326400000)"
2/24/16,15:41:00,4E,1300 N CHARLES ST,COMMON ASSAULT,HANDS,Mid-Town Belvedere,"(39.3045600000, -76.6160900000)"
2/24/16,16:00:00,7A,1600 JOPLIN ST,AUTO THEFT,,Broening Manor,"(39.2747300000, -76.5374100000)"
2/24/16,16:00:00,7A,4800 MIDWOOD AVE,AUTO THEFT,,Kenilworth Park,"(39.3471700000, -76.6039100000)"
2/24/16,16:30:00,6J,0 S CHARLES ST,LARCENY,,Downtown,"(39.2888900000, -76.6151300000)"
2/24/16,16:40:00,4E,3700 EASTERN AVE,COMMON ASSAULT,HANDS,Highlandtown,"(39.2866800000, -76.5660800000)"
2/24/16,16:40:00,4E,3700 EASTERN AVE,COMMON ASSAULT,HANDS,Highlandtown,"(39.2866800000, -76.5660800000)"
2/24/16,16:45:00,6C,6300 EASTERN AVE,LARCENY,,Pulaski Industrial Area,"(39.2876100000, -76.5398200000)"
2/24/16,16:50:00,4C,7600 BAGLEY AVE,AGG. ASSAULT,OTHER,North Harford Road,"(39.3701000000, -76.5401600000)"
2/24/16,17:00:00,4E,500 N HOWARD ST,COMMON ASSAULT,HANDS,Mount Vernon,"(39.2951400000, -76.6198300000)"
2/24/16,17:00:00,6D,1600 OLIVE ST,LARCENY FROM AUTO,,South Baltimore,"(39.2712100000, -76.6145500000)"
2/24/16,17:18:00,5D,5900 PULASKI HWY,BURGLARY,,Pulaski Industrial Area,"(39.3020400000, -76.5471000000)"
2/24/16,17:20:00,3B,ST & BREXTON ST,ROBBERY - STREET,,Mid-Town Belvedere,"(39.3011500000, -76.6189900000)"
2/24/16,2:00:00,5A,1100 S LINWOOD AVE,BURGLARY,,Canton,"(39.2796000000, -76.5753500000)"
2/24/16,3:25:00,5D,1000 MORTON ST,BURGLARY,,Mid-Town Belvedere,"(39.3011300000, -76.6166600000)"
2/24/16,3:35:00,4E,300 E 29TH ST,COMMON ASSAULT,HANDS,Harwood,"(39.3233700000, -76.6122900000)"
2/24/16,4:00:00,6D,500 N LUZERNE AVE,LARCENY FROM AUTO,,McElderry Park,"(39.2969400000, -76.5807900000)"
2/24/16,4:51:00,6D,2100 E LOMBARD ST,LARCENY FROM AUTO,,Butcher's Hill,"(39.2906400000, -76.5866600000)"
2/24/16,5:00:00,5A,5700 SIMMONDS AVE,BURGLARY,,Glen,"(39.3569700000, -76.6789300000)"
2/24/16,9:40:00,4E,1800 N PORT ST,COMMON ASSAULT,HANDS,Broadway East,"(39.3118400000, -76.5838400000)"
2/24/16,10:00:00,7A,0 S JANNEY ST,AUTO THEFT,,Canton Industrial Area,"(39.2872600000, -76.5603700000)"
2/24/16,10:01:00,6J,100 N POTOMAC ST,LARCENY,,Patterson Park Neighborhood,"(39.2941500000, -76.5749400000)"
2/24/16,10:42:00,3P,AV & E BIDDLE ST,ROBBERY - STREET,,Oliver,"(39.3040000000, -76.6021800000)"
2/24/16,10:52:00,6C,4600 EDMONDSON AVE,LARCENY,,Hunting Ridge,"(39.2933900000, -76.6955900000)"
2/24/16,11:00:00,4C,0 S SCHROEDER ST,AGG. ASSAULT,OTHER,Hollins Market,"(39.2878300000, -76.6336900000)"
2/24/16,11:05:00,4E,400 N ROSE ST,COMMON ASSAULT,HANDS,McElderry Park,"(39.2957000000, -76.5814400000)"
2/24/16,11:30:00,3NF,1500 RUSSELL ST,ROBBERY - STREET,FIREARM,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)"
2/24/16,11:36:28,2A,0 N CONKLING ST,RAPE,OTHER,Baltimore Highlands,"(39.2926700000, -76.5675900000)"
2/24/16,12:00:00,4E,2000 N EDGEWOOD ST,COMMON ASSAULT,HANDS,Fairmont,"(39.3100300000, -76.6759700000)"
2/24/16,12:45:00,6G,2300 GWYNNS FALLS PKWY,LARCENY,,Mondawmin,"(39.3153900000, -76.6542300000)"
2/24/16,17:23:00,6C,3500 BOSTON ST,LARCENY,,Canton Industrial Area,"(39.2770300000, -76.5673200000)"
2/24/16,17:25:00,6C,6500 EASTERN AVE,LARCENY,,Pulaski Industrial Area,"(39.2877600000, -76.5357600000)"
2/24/16,17:30:00,6C,3700 BOSTON ST,LARCENY,,Canton Industrial Area,"(39.2771000000, -76.5653800000)"
2/24/16,17:50:00,4E,200 N HIGHLAND AVE,COMMON ASSAULT,HANDS,Ellwood Park/Monument,"(39.2950500000, -76.5696200000)"
2/24/16,18:00:00,6E,500 WESTLAND AVE,LARCENY,,Beechfield,"(39.2779400000, -76.6987200000)"
2/24/16,18:00:00,6G,,LARCENY,,,
2/24/16,18:00:00,5A,1900 CHRISTIAN ST,BURGLARY,,Carrollton Ridge,"(39.2825800000, -76.6472600000)"
2/24/16,18:00:00,6D,400 KANE ST,LARCENY FROM AUTO,,Bayview,"(39.2888900000, -76.5372100000)"
2/24/16,18:00:00,5D,2700 REMINGTON AVE,BURGLARY,,Remington,"(39.3204700000, -76.6208400000)"
2/24/16,18:16:00,4E,2100 W PRATT ST,COMMON ASSAULT,HANDS,Carrollton Ridge,"(39.2849900000, -76.6500000000)"
2/24/16,18:16:00,4E,2100 W PRATT ST,COMMON ASSAULT,HANDS,Carrollton Ridge,"(39.2849900000, -76.6500000000)"
2/24/16,18:16:00,4E,2100 W PRATT ST,COMMON ASSAULT,HANDS,Carrollton Ridge,"(39.2849900000, -76.6500000000)"
2/24/16,18:23:00,4E,400 W FRANKLIN ST,COMMON ASSAULT,HANDS,Downtown,"(39.2948300000, -76.6220500000)"
2/24/16,21:30:00,6C,2400 LIBERTY HEIGHTS AVE,LARCENY,,Mondawmin,"(39.3186800000, -76.6539900000)"
2/24/16,21:32:00,5A,2600 GATEHOUSE DR,BURGLARY,,Purnell,"(39.3212000000, -76.7056700000)"
2/24/16,21:51:00,6G,100 W READ ST,LARCENY,,Mount Vernon,"(39.2996100000, -76.6175300000)"
2/24/16,22:00:00,6E,900 N STREEPER ST,LARCENY,,Madison-Eastend,"(39.3015300000, -76.5775500000)"
2/24/16,22:00:00,4C,1100 BONAPARTE AVE,AGG. ASSAULT,OTHER,East Baltimore Midway,"(39.3157900000, -76.6005600000)"
2/24/16,23:00:00,5A,3800 FOSTER AVE,BURGLARY,,Brewers Hill,"(39.2846400000, -76.5648200000)"
2/24/16,23:15:00,5C,2300 BOSTON ST,BURGLARY,,Canton,"(39.2828300000, -76.5841600000)"
2/24/16,23:24:00,6E,1000 ASHBURTON ST,LARCENY,,Mosher,"(39.2998100000, -76.6617200000)"
2/24/16,23:33:00,3AJF,AV & E 36TH ST,ROBBERY - CARJACKING,FIREARM,Guilford,"(39.3326100000, -76.6094700000)"
2/24/16,23:45:00,4E,2500 BROOKFIELD AVE,COMMON ASSAULT,HANDS,Reservoir Hill,"(39.3161500000, -76.6338900000)"
2/24/16,23:45:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)"
2/24/16,23:45:00,4E,2500 BROOKFIELD AVE,COMMON ASSAULT,HANDS,Reservoir Hill,"(39.3161500000, -76.6338900000)"
2/23/16,10:15:00,4F,6400 PIONEER DR,ASSAULT BY THREAT,,Hamilton Hills,"(39.3647900000, -76.5722100000)"
2/23/16,10:17:00,4E,400 W BALTIMORE ST,COMMON ASSAULT,HANDS,Downtown,"(39.2892600000, -76.6216900000)"
2/23/16,10:25:00,6G,5100 LAUREL AVE,LARCENY,,Levindale,"(39.3513400000, -76.6653600000)"
2/23/16,10:30:00,4C,1400 ORLEANS ST,AGG. ASSAULT,OTHER,Dunbar-Broadway,"(39.2951300000, -76.5986100000)"
2/23/16,10:50:00,4E,1400 E NORTH AVE,COMMON ASSAULT,HANDS,East Baltimore Midway,"(39.3119600000, -76.5992200000)"
2/23/16,10:56:00,6C,7300 HARFORD RD,LARCENY,,North Harford Road,"(39.3701500000, -76.5460400000)"
2/23/16,11:20:00,5A,5600 WINTHROPE AVE,BURGLARY,,Glenham-Belhar,"(39.3482000000, -76.5538400000)"
2/23/16,11:30:00,5A,3400 ALTO RD,BURGLARY,,Hanlon-Longwood,"(39.3173200000, -76.6752400000)"
2/23/16,12:00:00,6D,ST & RAPPOLLA ST,LARCENY FROM AUTO,,Pulaski Industrial Area,"(39.2831000000, -76.5527200000)"
2/23/16,12:00:00,6D,2300 BELAIR RD,LARCENY FROM AUTO,,Belair-Edison,"(39.3174300000, -76.5784500000)"
2/23/16,12:22:00,7A,1100 N CARROLLTON AVE,AUTO THEFT,,Sandtown-Winchester,"(39.3016700000, -76.6374800000)"
2/23/16,12:35:00,5E,2900 MOSHER ST,BURGLARY,,Franklintown Road,"(39.2991900000, -76.6659200000)"
2/23/16,13:00:00,5A,2800 E MONUMENT ST,BURGLARY,,McElderry Park,"(39.2990200000, -76.5772000000)"
2/23/16,13:57:00,6C,1500 HARFORD AVE,LARCENY,,Oliver,"(39.3080200000, -76.6006400000)"
2/23/16,18:00:00,4B,4700 YORK RD,AGG. ASSAULT,KNIFE,Kernewood,"(39.3462900000, -76.6096400000)"
2/23/16,18:30:00,4E,4900 GOODNOW RD,COMMON ASSAULT,HANDS,Frankford,"(39.3272200000, -76.5488500000)"
2/23/16,19:00:00,6D,800 UMBRA ST,LARCENY FROM AUTO,,Greektown,"(39.2839600000, -76.5501600000)"
2/23/16,19:00:00,3CF,4200 FRANKFORD AVE,ROBBERY - COMMERCIAL,FIREARM,Frankford,"(39.3375700000, -76.5512700000)"
2/23/16,19:00:00,6D,500 DUNDALK AVE,LARCENY FROM AUTO,,Pulaski Industrial Area,"(39.2863600000, -76.5420400000)"
2/23/16,19:15:00,4E,2600 MARYLAND AVE,COMMON ASSAULT,HANDS,Charles Village,"(39.3198600000, -76.6184600000)"
2/23/16,19:45:00,6D,3800 MENLO DR,LARCENY FROM AUTO,,Glen,"(39.3539000000, -76.6939800000)"
2/23/16,20:00:00,6D,7200 CHALKSTONE DR,LARCENY FROM AUTO,,Fallstaff,"(39.3678000000, -76.7092900000)"
2/23/16,20:00:00,3D,3800 W FOREST PARK AVE,ROBBERY - COMMERCIAL,,Concerned Citizens Of Forest Park,"(39.3254700000, -76.6836200000)"
2/23/16,20:00:00,6E,2500 AISQUITH ST,LARCENY,,Coldstream Homestead Montebello,"(39.3182400000, -76.5974400000)"
2/23/16,20:00:00,6G,1400 REYNOLDS ST,LARCENY,,Locust Point,"(39.2687500000, -76.5900100000)"
2/23/16,20:15:00,5C,1500 UPSHIRE RD,BURGLARY,,Ednor Gardens-Lakeside,"(39.3338200000, -76.5935800000)"
2/23/16,20:26:00,6D,700 WILDWOOD PKWY,LARCENY FROM AUTO,,Edmondson Village,"(39.2956700000, -76.6841300000)"
2/23/16,20:36:00,5A,600 STAMFORD RD,BURGLARY,,Westgate,"(39.2910400000, -76.7072900000)"
2/23/16,20:45:00,5A,1100 WILLIAM ST,BURGLARY,,Riverside,"(39.2765100000, -76.6105500000)"
2/23/16,21:00:00,7A,4900 PARKTON CT,AUTO THEFT,,Beechfield,"(39.2801100000, -76.6963800000)"
2/23/16,21:09:00,7A,1600 HOMESTEAD ST,AUTO THEFT,,Coldstream Homestead Montebello,"(39.3208600000, -76.5955600000)"
2/23/16,21:33:00,8H,800 W PATAPSCO AVE,ARSON,,Cherry Hill,"(39.2443000000, -76.6322200000)"
2/23/16,21:48:00,4E,1500 RUSSELL ST,COMMON ASSAULT,HANDS,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)"
2/23/16,21:50:00,6G,5100 SINCLAIR LN,LARCENY,,Frankford,"(39.3222600000, -76.5468700000)"
2/23/16,22:00:00,6D,2400 ETTING ST,LARCENY FROM AUTO,,Penn North,"(39.3117100000, -76.6417500000)"
2/23/16,23:00:00,6J,600 N PAYSON ST,LARCENY,,Midtown-Edmondson,"(39.2958700000, -76.6491400000)"
2/23/16,23:00:00,6G,4400 PRUDENCE ST,LARCENY,,Curtis Bay,"(39.2255800000, -76.5915800000)"
2/23/16,23:20:00,4E,2800 ROUND RD,COMMON ASSAULT,HANDS,Cherry Hill,"(39.2468500000, -76.6279500000)"
2/23/16,0:45:00,8H,RD & E 32ND ST,ARSON,,Coldstream Homestead Montebello,"(39.3267900000, -76.5893300000)"
2/23/16,1:10:00,6D,6100 YORK RD,LARCENY FROM AUTO,,Lake Walker,"(39.3675100000, -76.6098200000)"
2/23/16,1:54:00,4E,800 OLDHAM ST,COMMON ASSAULT,HANDS,Greektown,"(39.2835800000, -76.5555300000)"
2/23/16,2:23:00,4E,3500 FAIT AVE,COMMON ASSAULT,HANDS,Canton,"(39.2835600000, -76.5677800000)"
2/23/16,2:35:00,6C,6300 EASTERN AVE,LARCENY,,Bayview,"(39.2877500000, -76.5399000000)"
2/23/16,2:57:00,6D,,LARCENY FROM AUTO,,,
2/23/16,3:39:00,3AK,1900 N ROSEDALE ST,ROBBERY - STREET,KNIFE,Walbrook,"(39.3091200000, -76.6693600000)"
2/23/16,3:59:00,5D,3200 O''DONNELL ST,BURGLARY,,Canton,"(39.2803600000, -76.5702400000)"
2/23/16,5:15:00,5D,1300 N FREMONT AVE,BURGLARY,,Sandtown-Winchester,"(39.3049100000, -76.6376900000)"
2/23/16,6:45:00,6E,RD & RUSKIN AV,LARCENY,,Parkview/Woodbrook,"(39.3147600000, -76.6481900000)"
2/23/16,7:12:00,7A,1100 ASHBURTON ST,AUTO THEFT,,Winchester,"(39.3008400000, -76.6617800000)"
2/23/16,7:34:00,4E,OLIVER ST & N GAY ST,COMMON ASSAULT,HANDS,Broadway East,"(39.3076800000, -76.5898000000)"
2/23/16,8:00:00,4E,6100 METRO DR,COMMON ASSAULT,HANDS,Seton Business Park,"(39.3488400000, -76.7085200000)"
2/23/16,8:00:00,5B,3600 GRANTLEY RD,BURGLARY,,Ashburton,"(39.3286200000, -76.6749700000)"
2/23/16,8:00:00,6D,5100 GREENWICH AVE,LARCENY FROM AUTO,,Westgate,"(39.2913700000, -76.7083000000)"
2/23/16,8:00:00,5A,4100 FAIRFAX RD,BURGLARY,,Windsor Hills,"(39.3208400000, -76.6858400000)"
2/23/16,8:30:00,4C,500 N GLOVER ST,AGG. ASSAULT,OTHER,McElderry Park,"(39.2973000000, -76.5800300000)"
2/23/16,8:30:00,4E,400 WATTY CT,COMMON ASSAULT,HANDS,Upton,"(39.3015500000, -76.6253700000)"
2/23/16,8:30:00,5A,3500 GIBBONS AVE,BURGLARY,,Waltherson,"(39.3461800000, -76.5577500000)"
2/23/16,9:00:00,6D,1600 W LOMBARD ST,LARCENY FROM AUTO,,Union Square,"(39.2863900000, -76.6423300000)"
2/23/16,9:00:00,6D,5400 CEDONIA AVE,LARCENY FROM AUTO,,Cedonia,"(39.3316100000, -76.5327400000)"
2/23/16,9:18:00,5A,3800 ELMORA AVE,BURGLARY,,Belair-Edison,"(39.3163500000, -76.5646700000)"
2/23/16,9:30:00,6J,6100 CHINQUAPIN PKWY,LARCENY,,Glen Oaks,"(39.3676500000, -76.5992300000)"
2/23/16,9:50:00,6J,1300 N STOCKTON ST,LARCENY,,Sandtown-Winchester,"(39.3040100000, -76.6383000000)"
2/23/16,934,1F,1000 E PATAPSCO AV,HOMICIDE,FIREARM,Fairfield Area,"(39.2342800000, -76.5956300000)"
2/23/16,10:00:00,7A,5300 DENMORE AVE,AUTO THEFT,,Arlington,"(39.3493000000, -76.6802500000)"
2/23/16,10:00:00,6D,1900 THAMES ST,LARCENY FROM AUTO,,Fells Point,"(39.2820100000, -76.5896700000)"
2/23/16,14:00:00,6C,600 HOMESTEAD ST,LARCENY,,Better Waverly,"(39.3271200000, -76.6083900000)"
2/23/16,14:15:00,4A,3300 N EDGEWOOD ST,AGG. ASSAULT,FIREARM,Forest Park,"(39.3242300000, -76.6750600000)"
2/23/16,14:45:00,5C,3500 EDMONDSON AVE,BURGLARY,,Edgewood,"(39.2940700000, -76.6765600000)"
2/23/16,15:00:00,5D,500 MAUDE AVE,BURGLARY,,Brooklyn,"(39.2385700000, -76.6017600000)"
2/23/16,15:00:00,7A,200 W LEXINGTON ST,AUTO THEFT,,Downtown,"(39.2916300000, -76.6182600000)"
2/23/16,15:00:00,5B,2300 CEDLEY ST,BURGLARY,,Westport,"(39.2621600000, -76.6326000000)"
2/23/16,15:00:00,5A,4200 MAINE AVE,BURGLARY,,Central Forest Park,"(39.3281200000, -76.6895600000)"
2/23/16,15:00:00,6D,400 GRUNDY ST,LARCENY FROM AUTO,,Highlandtown,"(39.2876200000, -76.5634400000)"
2/23/16,15:04:00,4E,5300 Sinclair Ln,COMMON ASSAULT,HANDS,Frankford,"(39.3235600000, -76.5418400000)"
2/23/16,15:07:00,5B,2900 N LOUDON AVE,BURGLARY,,Windsor Hills,"(39.3180700000, -76.6881600000)"
2/23/16,15:30:00,6G,4400 FRANKFORD AVE,LARCENY,,Frankford,"(39.3358400000, -76.5492000000)"
2/23/16,15:32:00,4D,2900 DENHAM CIR S,AGG. ASSAULT,HANDS,Cherry Hill,"(39.2442900000, -76.6269600000)"
2/23/16,15:32:00,8BO,2900 DENHAM CIR S,ARSON,,Cherry Hill,"(39.2442900000, -76.6269600000)"
2/23/16,16:00:00,3B,1400 N WASHINGTON ST,ROBBERY - STREET,,Broadway East,"(39.3069300000, -76.5901300000)"
2/23/16,16:00:00,5A,2600 BOONE ST,BURGLARY,,Better Waverly,"(39.3203700000, -76.6086700000)"
2/23/16,16:30:00,6J,800 S ELLWOOD AVE,LARCENY,,Canton,"(39.2830700000, -76.5727000000)"
2/23/16,16:31:00,6G,1300 FLEET ST,LARCENY,,Inner Harbor,"(39.2843400000, -76.5989800000)"
2/23/16,16:43:00,4E,1100 N BENTALOU ST,COMMON ASSAULT,HANDS,Bridgeview/Greenlawn,"(39.3014400000, -76.6535800000)"
2/23/16,16:45:00,7A,800 MONTPELIER ST,AUTO THEFT,,Better Waverly,"(39.3252500000, -76.6055400000)"
2/23/16,16:55:00,6G,4200 BELAIR RD,LARCENY,,Belair-Edison,"(39.3277900000, -76.5658500000)"
2/23/16,17:00:00,4E,700 DRUID PARK LAKE DR,COMMON ASSAULT,HANDS,Reservoir Hill,"(39.3166300000, -76.6324200000)"
2/23/16,17:00:00,6D,2800 DAMASCUS CT,LARCENY FROM AUTO,,Cheswolde,"(39.3715600000, -76.6912800000)"
2/23/16,17:12:00,4E,AV & DUPONT AV,COMMON ASSAULT,HANDS,Coldspring,"(39.3443800000, -76.6588400000)"
