CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
10/20/15,14:55:00,4E,200 S EATON ST,COMMON ASSAULT,HANDS,Highlandtown,"(39.2894100000, -76.5654300000)"
10/20/15,15:15:00,3AK,2400 E NORTHERN PKWY,ROBBERY - STREET,KNIFE,Hamilton Hills,"(39.3677700000, -76.5650800000)"
10/20/15,15:15:00,3AK,2400 E NORTHERN PKWY,ROBBERY - STREET,KNIFE,Hamilton Hills,"(39.3677700000, -76.5650800000)"
10/20/15,15:55:00,4B,500 W NORTH AVE,AGG. ASSAULT,KNIFE,Reservoir Hill,"(39.3108800000, -76.6253000000)"
10/20/15,1554,1F,1100 POPLAR GROVE ST,HOMICIDE,FIREARM,Franklintown Road,"(39.3004200000, -76.6652900000)"
10/20/15,16:00:00,6G,4500 EDMONDSON AVE,LARCENY,,Uplands,"(39.2933500000, -76.6911300000)"
10/20/15,16:00:00,6D,5400 MOORES RUN DR,LARCENY FROM AUTO,,Cedonia,"(39.3310400000, -76.5345900000)"
10/20/15,16:10:00,7A,1900 W BALTIMORE ST,AUTO THEFT,,Penrose/Fayette Street Outreach,"(39.2881800000, -76.6472000000)"
10/20/15,16:30:00,6D,6200 HILLTOP AVE,LARCENY FROM AUTO,,Glenham-Belhar,"(39.3530500000, -76.5439400000)"
10/20/15,1:01:00,6E,3100 HAWKINS POINT RD,LARCENY,,Hawkins Point,"(39.2027300000, -76.5583000000)"
10/20/15,1:06:00,3AF,4200 LOCH RAVEN BLVD,ROBBERY - STREET,FIREARM,New Northwood,"(39.3408500000, -76.5936100000)"
10/20/15,1:50:00,5A,1300 MADISON AVE,BURGLARY,,Madison Park,"(39.3032700000, -76.6271400000)"
10/20/15,2:33:00,4C,5000 HARFORD RD,AGG. ASSAULT,OTHER,Lauraville,"(39.3471700000, -76.5658500000)"
10/20/15,2:33:00,4C,5000 HARFORD RD,AGG. ASSAULT,OTHER,Lauraville,"(39.3471700000, -76.5658500000)"
10/20/15,2:33:00,4C,5000 HARFORD RD,AGG. ASSAULT,OTHER,Lauraville,"(39.3471700000, -76.5658500000)"
10/20/15,2:33:00,4C,5000 HARFORD RD,AGG. ASSAULT,OTHER,Lauraville,"(39.3471700000, -76.5658500000)"
10/20/15,2:40:00,5D,600 CHERRY HILL RD,BURGLARY,,Cherry Hill,"(39.2500800000, -76.6228200000)"
10/20/15,3:10:00,4E,1300 N BOND ST,COMMON ASSAULT,HANDS,Oliver,"(39.3053100000, -76.5966900000)"
10/20/15,3:10:00,4E,1300 N BOND ST,COMMON ASSAULT,HANDS,Oliver,"(39.3053100000, -76.5966900000)"
10/20/15,3:20:00,7A,1900 N HOWARD ST,AUTO THEFT,,Charles North,"(39.3111700000, -76.6193300000)"
10/20/15,3:30:00,6E,1000 ABBOTT CT,LARCENY,,Oldtown,"(39.3012700000, -76.6034500000)"
10/20/15,4:00:00,5A,300 FURROW ST,BURGLARY,,Carrollton Ridge,"(39.2834000000, -76.6518700000)"
10/20/15,4:50:00,4C,2400 MARBOURNE AVE,AGG. ASSAULT,OTHER,Lakeland,"(39.2542700000, -76.6514700000)"
10/20/15,9:00:00,6D,2000 N CALVERT ST,LARCENY FROM AUTO,,Barclay,"(39.3126900000, -76.6139200000)"
10/20/15,9:00:00,5C,4000 FAIRHAVEN AVE,BURGLARY,,Curtis Bay,"(39.2289100000, -76.5903800000)"
10/20/15,9:00:00,6E,2000 N BENTALOU ST,LARCENY,,Mondawmin,"(39.3113500000, -76.6542400000)"
10/20/15,9:00:00,7A,6500 HARFORD RD,AUTO THEFT,,Westfield,"(39.3618000000, -76.5533100000)"
10/20/15,9:30:00,6J,1200 N MONTFORD AVE,LARCENY,,Broadway East,"(39.3052600000, -76.5840900000)"
10/20/15,9:30:00,6E,500 THORNFIELD RD,LARCENY,,Yale Heights,"(39.2760000000, -76.6932800000)"
10/20/15,9:30:00,6G,3000 FALLSTAFF RD,LARCENY,,Cheswolde,"(39.3697100000, -76.6904300000)"
10/20/15,9:40:00,6D,2100 HARGROVE ALY,LARCENY FROM AUTO,,Barclay,"(39.3134700000, -76.6145600000)"
10/20/15,9:40:00,6D,2100 HARGROVE ALY,LARCENY FROM AUTO,,Barclay,"(39.3134700000, -76.6145600000)"
10/20/15,9:50:00,6C,6700 REISTERSTOWN RD,LARCENY,,Reisterstown Station,"(39.3582500000, -76.7052800000)"
10/20/15,10:00:00,5A,800 RYAN ST,BURGLARY,,Washington Village/Pigtown,"(39.2842400000, -76.6295700000)"
10/20/15,10:00:00,5A,800 RYAN ST,BURGLARY,,Washington Village/Pigtown,"(39.2842400000, -76.6295700000)"
10/20/15,10:00:00,5A,800 RYAN ST,BURGLARY,,Washington Village/Pigtown,"(39.2842400000, -76.6295700000)"
10/20/15,10:00:00,5A,1200 N COLLINGTON AVE,BURGLARY,,Broadway East,"(39.3049200000, -76.5870800000)"
10/20/15,10:00:00,5A,800 RYAN ST,BURGLARY,,Washington Village/Pigtown,"(39.2842400000, -76.6295700000)"
10/20/15,10:25:00,6D,2100 N DUKELAND ST,LARCENY FROM AUTO,,Panway/Braddish Avenue,"(39.3119100000, -76.6642100000)"
10/20/15,10:30:00,5A,1400 EUTAW PL,BURGLARY,,Madison Park,"(39.3048200000, -76.6274700000)"
10/20/15,10:45:00,4E,100 W SARATOGA ST,COMMON ASSAULT,HANDS,Downtown,"(39.2930400000, -76.6168000000)"
10/20/15,10:47:00,6J,1700 WEBSTER ST,LARCENY,,Riverside,"(39.2706500000, -76.6042800000)"
10/20/15,11:25:00,4E,1400 E FORT AVE,COMMON ASSAULT,HANDS,Locust Point,"(39.2691700000, -76.5943400000)"
10/20/15,11:30:00,6C,5900 REISTERSTOWN RD,LARCENY,,Reisterstown Station,"(39.3513300000, -76.6955000000)"
10/20/15,11:45:00,4E,3500 HILLEN RD,COMMON ASSAULT,HANDS,Ednor Gardens-Lakeside,"(39.3325500000, -76.5889600000)"
10/20/15,11:45:00,6C,1300 E FAYETTE ST,LARCENY,,Washington Hill,"(39.2925400000, -76.5995400000)"
10/20/15,11:55:00,6D,2800 N DUKELAND ST,LARCENY FROM AUTO,,Hanlon-Longwood,"(39.3184100000, -76.6650900000)"
10/20/15,12:00:00,4F,2100 N WOLFE ST,ASSAULT BY THREAT,,Darley Park,"(39.3144400000, -76.5918900000)"
